track_id,track_name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,liked
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],2,1,True,0.599,0.957,11,-5.763999999999999,1,0.188,0.0129,7.06e-05,0.155,0.489,103.68,206200,4.0,1999,1999-11-02,0
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,The Battle Of Los Angeles,2eia0myWFgoHuttJytCxgX,['Rage Against The Machine'],['2d0hyoQ5ynDBnkvAbJKORj'],5,1,False,0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,205600,4.0,1999,1999-11-02,1
79pY2Z5eFvXMt9bSdHLrnA,I Am Mine,Riot Act,7AOWw68DEPnDmTpquZw8bG,['Pearl Jam'],['1w5Kfo2jwwIPruYS2UWh56'],6,1,False,0.3229999999999999,0.728,7,-5.416,1,0.0321,0.00394,0.0004469999999999,0.102,0.489,161.586,215333,3.0,2002,2002-11-08,0
0S3gpZzlT9Hb7CCSV2owX7,"Mama, I'm Coming Home",No More Tears (Expanded Edition),6eh82ojicL8RSJF7GkYTh7,['Ozzy Osbourne'],['6ZLTlhejhndI4Rh53vYhrY'],3,1,False,0.282,0.6559999999999999,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,4.0,1991,1991-09-17,0
0AU54nX4FploMXKmfRLuld,"All Along the Watchtower - Live at Central Park, New York, NY - September 2003",The Central Park Concert,3WRYcYhVXtclxzqbSmNyZK,['Dave Matthews Band'],['2TI7qyDE0QfyOlnbtfDo7L'],5,3,False,0.349,0.901,0,-7.463999999999999,1,0.0636,0.00164,0.00742,0.985,0.0941,104.48,779453,4.0,2003,2003-11-18,0
2R6BL25Q3uxUY7y98IHTLU,Good Love Is On the Way - Live In Concert,TRY!,0X9bvQYYtrAYdkO4OKtYwz,['John Mayer Trio'],['68xuC1qXRhCUvGd4SSM655'],2,1,False,0.4370000000000001,0.812,2,-7.12,1,0.0327,0.00897,0.0061,0.1639999999999999,0.498,90.507,290600,4.0,2005,2005-09-19,1
0FRoVng8IZZoS0ATxIgvuH,Gravity - Live In Concert,TRY!,0X9bvQYYtrAYdkO4OKtYwz,['John Mayer Trio'],['68xuC1qXRhCUvGd4SSM655'],4,1,False,0.5429999999999999,0.344,7,-9.599,1,0.035,0.6729999999999999,0.00329,0.813,0.477,115.281,349253,3.0,2005,2005-09-19,0
2y1lBT2HdDaiF9ZftXAs9n,Out of My Mind - Live In Concert,TRY!,0X9bvQYYtrAYdkO4OKtYwz,['John Mayer Trio'],['68xuC1qXRhCUvGd4SSM655'],6,1,False,0.496,0.364,7,-10.579,1,0.0439,0.6779999999999999,0.175,0.351,0.2769999999999999,96.356,459200,3.0,2005,2005-09-19,0
4OZtDR79Lwz1DblkJffzf3,Try - Live In Concert,TRY!,0X9bvQYYtrAYdkO4OKtYwz,['John Mayer Trio'],['68xuC1qXRhCUvGd4SSM655'],11,1,False,0.405,0.911,7,-6.8420000000000005,0,0.0561,0.346,0.0687,0.695,0.306,118.461,413293,4.0,2005,2005-09-19,0
6tsojOQ5wHaIjKqIryLZK6,All My Life,One By One (Expanded Edition),1zQ6F8gMagKcPL4SoA80cx,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],1,1,False,0.5770000000000001,0.604,5,-5.702999999999999,1,0.0495,0.000218,0.000579,0.477,0.637,167.71900000000005,263440,4.0,2002,2002-10-22,1
67vYdAAM3oGsEImCRfbtsF,Times Like These,One By One (Expanded Edition),1zQ6F8gMagKcPL4SoA80cx,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],4,1,False,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.58100000000005,265560,4.0,2002,2002-10-22,0
1tji8uIdXkRT26XKI1MIaS,Yesterday Shutting Down,The Bittersweet,6dfLInyaFDkKGPmaUQ43Aq,['David Ryan Harris'],['3wnsAakCkhyU3yKQYMZmGo'],7,1,False,0.584,0.685,1,-8.455,1,0.0881,0.3429999999999999,0.0,0.0939,0.57,163.389,272417,4.0,2006,2006-01-01,0
3bE5slaVEfaDreqARl6k4M,Yellow Ledbetter,Jeremy,1WJ3UbOi2QYGuRgXCc9FIV,['Pearl Jam'],['1w5Kfo2jwwIPruYS2UWh56'],3,1,False,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87,303587,4.0,1991,1991,0
7x8dCjCr0x6x2lXKujYD34,The Pretender,"Echoes, Silence, Patience & Grace",3ilXDEG0xiajK8AbqboeJz,['Foo Fighters'],['7jy3rLJdDQY21OgRLCZ9sD'],1,1,False,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.0279999999999999,0.365,172.984,269373,4.0,2007,2007-09-25,0
1IdTIzkTK6CcpKKgMUGbg7,Vultures,Continuum,1Xsprdt1q9rOzTic7b9zYM,['John Mayer'],['0hEurMDQu99nJRq8pTxO14'],6,1,False,0.882,0.478,4,-10.386,1,0.0304,0.476,0.00581,0.0737,0.802,97.81,250840,4.0,2006,2006-09-11,0
2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,Continuum,1Xsprdt1q9rOzTic7b9zYM,['John Mayer'],['0hEurMDQu99nJRq8pTxO14'],8,1,False,0.6679999999999999,0.361,1,-8.69,0,0.0273,0.573,0.00506,0.0805,0.288,134.15,242000,5.0,2006,2006-09-11,1
3MlTmlmooUijgyJJswZfm1,Hoje Eu Quero Sair Só,O Dia Em Que Faremos Contato,0CdDZVvdv7OJ5e2xMj5jmO,['Lenine'],['4YLBdrR3DVSMncm785NH6C'],2,1,False,0.773,0.5489999999999999,7,-10.091,1,0.0424,0.222,0.000986,0.106,0.7070000000000001,94.014,338387,4.0,1997,1997,0
6weAJYgtmoJeRObdOHxqxi,You Know What I Mean,Blow By Blow,6fhTDVBs7qeoP3254hMu6u,['Jeff Beck'],['0AD4odMWVQ2wUSlgxOB5Rl'],1,1,False,0.6709999999999999,0.669,2,-8.144,1,0.0687,0.046,0.892,0.0712,0.971,100.792,245600,4.0,1975,1975-03-29,0
4FNVmJmwFsrayTvjUk1eG0,"Bartender - Live at Radio City Music Hall, New York, NY - April 2007",Live At Radio City,1t89f8EDdWRWhHpp6OOmtP,"['Dave Matthews', 'Tim Reynolds']","['13vQloYd6mP7V1mVwKJwS2', '7rvkQK7ZqO34sKsWEXjz3R']",1,1,False,0.29,0.551,2,-8.115,1,0.0335,0.6779999999999999,6.15e-05,0.982,0.134,101.101,508427,1.0,2007,2007-08-14,0
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,King Of The Electric Blues,4fOVcN7X7vQ8L41is621uJ,['Muddy Waters'],['4y6J8jwRAwO4dssiSmN91R'],14,1,False,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.6809999999999999,0.615,111.129,321133,3.0,1977,1977,1
